Freq	Word	Lemma
2	аксамитити	аксамитити
3	аксамичены	аксамитити
1	алкати	алкати
1	алкают	алкати
1	алча	алкати
1	алчет	алкати
1	алчущии	алкати
1	алчущому	алкати
3	алчютъ	алкати
3	алчюща	алкати
2	алчющаа	алкати
1	алчющая	алкати
2	алчюще	алкати
1	алчющеи	алкати
1	алчющи	алкати
1	алчющии	алкати
4	алчющим	алкати
4	алчющимъ	алкати
2	алчющих	алкати
1	алчющихъ	алкати
1	алчя	алкати
1	алмаженъ	алмазити
2	олмажено	алмазити
1	аріаньствують	арианствовати
1	арывали	арывати
1	бабит	бабити
1	бабить	бабити
1	бавитца	бавитися
1	бався	бавитися
1	бавяся	бавитися
1	багрено	багрити
1	балуют	баловати
1	Бархатѣли	бархатити
1	бархачено	бархатити
1	баснословивъ	баснословити
2	баснословитъ	баснословити
1	баснословятъ	баснословити
1	баю	баяти
1	баютъ	баяти
1	бающа	баяти
1	баяху	баяти
1	бьдя	бдити
5	бегает	бегати
1	бегаеть	бегати
3	бегай	бегати
1	бегайте	бегати
1	Бегайте	бегати
2	бегал	бегати
6	бегали	бегати
1	Бегати	бегати
8	бегати	бегати
7	бегать	бегати
1	бегаху	бегати
21	бегают	бегати
1	бегають	бегати
11	бегаючи	бегати
1	бегающа	бегати
7	бегающе	бегати
1	бегающего	бегати
3	бегающи	бегати
1	бегающим	бегати
2	бегающих	бегати
2	бегающу	бегати
1	бегающь	бегати
7	бегая	бегати
1	бегоют	бегати
1	бегоя	бегати
1	бедствуемых	бедствовати
1	бедствуешь	бедствовати
1	бедствующему	бедствовати
2	бедствующим	бедствовати
6	бегоша	бежати
1	бегут	бежати
1	бегутъ	бежати
1	бегуть	бежати
1	бегучи	бежати
1	бегущая	бежати
1	бегуще	бежати
2	бегущи	бежати
2	бегущих	бежати
1	бегущу	бежати
1	бегшия	бежати
6	Бежа	бежати
125	бежа	бежати
1	бежааху	бежати
1	бежав	бежати
2	бежавше	бежати
1	бежавшей	бежати
1	бежавшим	бежати
2	бежавших	бежати
1	бежавшу	бежати
1	бежавъ	бежати
18	бежал	бежати
2	Бежала	бежати
6	бежала	бежати
54	бежали	бежати
6	бежалъ	бежати
1	бежаста	бежати
5	бежат	бежати
78	бежати	бежати
1	бежатъ	бежати
10	бежать	бежати
12	бежаху	бежати
2	бежахъ	бежати
1	бежачи	бежати
1	Бежаша	бежати
52	бежаша	бежати
1	Бежаше	бежати
6	бежаше	бежати
1	бежаши	бежати
1	бежашя	бежати
1	Бежаща	бежати
9	бежаща	бежати
2	бежащаго	бежати
1	Бежащая	бежати
1	Бежаще	бежати
4	бежаще	бежати
6	бежащи	бежати
1	бежащии	бежати
1	бежащим	бежати
3	Бежащим	бежати
1	Бежащимъ	бежати
9	бежащих	бежати
1	бежащихъ	бежати
5	бежащу	бежати
1	бежете	бежати
1	бежи	бежати
2	Бежи	бежати
2	бежим	бежати
1	Бежимъ	бежати
13	бежит	бежати
3	бежите	бежати
3	Бежите	бежати
2	бежить	бежати
1	бежу	бежати
